File Name, Schedulability
(test) credit score model.dot    false
001_Variables - global 1.dot    true
002_Variables - variable nodes 1.dot    true
003_Variables - variable nodes 2.dot    true
008_Loops - 1.dot    true
00_Building_your_first_workflow_optional.dot    true
01 - Data Visualization with KNIME.dot    true
01 Data Access - Solution.dot    true
01 Data Access.dot    true
01-FIRST_project.dot    false
01-knime-intro-solution.dot    true
010_Loops - 3.dot    true
011_Loops - 4.dot    true
014_External_WF_Call - 1.dot    true
01DataAggregation.dot    true
01DataandTimeandDatabases.dot    true
01DataCleaning.dot    true
01DataExportandReporting-Exercise.dot    true
01DataImportingandPreprocessing.dot    true
01DateandTimeandDatabases(FINISHED).dot    true
01DateandTimeDatabasesADDITIONALDATA.dot    true
01DateandTimeManipulation-Solution.dot    true
01DateandTimeManipulation.dot    true
01DocumentViewer.dot    true
01PracticingwithTraditionalDatabases.dot    false
01RemoteWorkflowExecution_yourinitials.dot    false
01RF_Son.dot    false
01_Basic_Customer_Segmentation_Use_Case.dot    true
01_Basic_Visualizations_with_Python_View_node.dot    true
01_CreditScoring.dot    false
01_Data_Preparation.dot    true
01_Data_Summarization.dot    true
01_Duplicate_Row_Filter.dot    true
01_exploracion_adult_csv.dot    true
01_Introduction.dot    true
01_KNIME_assessment_training_.dot    true
01_Knime_Introduction.dot    true
01_kNN.dot    true
01_Missing_Value_Handling.dot    true
01_NetworkComponentSplitter.dot    true
01_Neural_Net.dot    true
02-createcontroltablefortagging.dot    true
02-EDA-tutorial-solution.dot    true
02-lr-salaries-Solution.dot    true
02-WriteDatatoaFile.dot    true
02.dot    true
02Cleaning&Standardization.dot    true
02CleaningandStandardization.dot    true
02CreatingYourSportsAnalyticsDataset.dot    false
02DatabaseDataManipulation-Solution.dot    true
02DatabaseDataManipulation.dot    true
02DataBlendingbb.dot    true
02DataCleaning-Exercise.dot    true
02DataCleaning.dot    true
02DataManipulationaa.dot    true
02FlowVariablesandComponents.dot    false
02GBT_Son.dot    false
02OneHotEncoding.dot    true
02_01_Time_Series_Seasonal_Plot.dot    true
02_Database_Data_Manipulation.dot    true
02_ingresos_por_sexo.dot    true
02_Missing_Value_Node.dot    true
02_Outlier_Detection.dot    false
02_Probability.dot    true
02_regression.dot    true
03-Project1-RowandColumnFiltering.dot    true
03-Project3-RowandColumnFiltering.dot    true
03-Reporting.dot    true
03-ruleengine.dot    true
03.dot    true
03AggregationandDataBlending-Exercise.dot    true
03AggregationandDataBlending.dot    true
03ANNModeli(MLP)-R20,99.dot    false
03bMultipledimensions-solution.dot    true
03BringingThingsTogether-Solution.dot    true
03BringingThingsTogether.dot    true
03DataVisualization.dot    true
03FlowVariables.dot    false
03LoopsandSwitches.dot    true
03Reporting-CustomData.dot    true
03SVM_Son(SVR).dot    false
03TrainModel-solution.dot    true
03_klassifikation.dot    true
03_KNIME_assessment_interactive_app.dot    true
03_Linear_Regression.dot    true
03_row_filter.dot    true
03_Rule_Engine.dot    true
04-AdavancedAnalytics-TimeSeries.dot    true
04-createcontroltableforformatting.dot    true
04-Project1-NumbersStrngsandRules.dot    true
04-Project3-DataTransformation.dot    true
04.dot    false
04ANN-MLP_Son.dot    false
04CleaningandFiltering.dot    true
04DataMining.dot    true
04DataTransformation-Solution.dot    true
04DataTransformation.dot    true
